FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4176886,18,1,2,,2,2
4176887,29,2,2,,2,3
4176888,26,2,3,3,1,2
4176902,28,1,2,1,4,1
4177006,18,1,3,5,5,4
4177137,22,2,3,4,4,5
4177324,24,2,2,2,3,1
4177443,16,1,2,4,2,5
4177450,28,1,2,4,2,2
4177454,22,2,2,4,2,1
4177473,21,2,2,4,2,1
4177479,16,1,3,5,2,2
4177483,16,1,2,4,3,1
4177484,29,2,3,4,2,3
4177514,16,1,1,3,1,3
4177553,22,1,3,3,4,4
4177557,16,2,2,5,2,1
4177560,24,1,3,2,4,1
4177568,17,2,2,4,3,1
4177578,17,1,2,4,2,2
4177583,20,1,2,4,2,3
4177637,28,2,3,5,1,1
4177733,29,2,3,2,4,5
4177854,20,1,1,4,3,4
4177878,20,2,2,4,,2
4177979,25,2,3,1,1,4
4178011,25,1,3,5,5,1
4178021,24,2,3,2,4,3
4178093,24,2,3,5,1,1
4178094,29,2,3,5,1,4
4178154,19,2,3,,,1
4178159,23,1,3,4,4,5
4178160,24,2,3,4,4,5
4178162,29,2,2,3,3,3
4178183,29,2,3,1,2,5
4178198,22,2,2,3,3,1
4178228,26,2,2,3,3,1
4178246,29,2,2,4,2,4
4178268,20,1,2,2,2,1
4178298,19,1,3,2,2,2
4178321,27,2,2,1,4,4
4178333,24,2,2,4,3,4
4178364,20,2,2,2,4,5
4178381,20,2,2,3,4,2
4178383,18,2,2,2,2,3
4178385,21,2,,4,2,4
4178387,21,2,2,5,1,1
4178422,23,2,3,2,5,4
4178451,17,1,1,3,3,4
4178457,24,2,3,4,3,1
4178458,19,2,3,4,3,3
4178531,20,2,2,5,5,2
4178535,25,1,3,3,5,4
4178556,22,1,2,1,5,4
4178561,16,2,3,5,5,4
4178568,16,2,3,2,2,4
4178577,18,1,2,4,2,5
4178598,24,1,2,5,2,2
4178605,18,2,2,4,4,4
4178614,22,2,,5,5,4
4178616,18,1,2,5,2,4
4178621,29,1,2,3,4,4
4178625,18,2,2,5,3,1
4178648,25,2,2,2,4,2
4178688,17,2,2,1,5,4
4178693,24,1,3,4,2,2
4178723,23,1,2,5,3,4
4178742,24,1,2,5,2,4
4178758,18,1,3,4,4,3
4178762,21,2,2,4,2,1
4178799,21,1,1,2,3,5
4178804,19,1,2,3,3,5
4178805,21,1,1,5,2,3
4178816,17,1,,4,5,2
4178829,24,2,3,5,2,2
4178834,21,2,2,1,4,1
4178853,29,1,2,4,4,4
4178855,29,2,2,4,5,1
4178856,18,1,2,5,5,4
4178916,18,1,2,3,5,5
4178952,16,2,2,4,3,1
4178953,16,2,3,4,2,2
4178954,28,1,2,4,4,5
4178955,22,1,2,5,1,1
4179006,23,2,3,5,1,4
4179007,24,1,2,5,1,2
4179050,18,1,3,4,2,3
4179077,24,1,3,3,1,2
4179078,17,2,2,3,4,4
4179079,20,1,2,4,2,5
4179148,20,2,3,5,1,2
4179171,22,2,3,4,3,5
4179172,22,2,2,3,2,3
4179524,19,2,3,4,1,2
4179525,20,1,3,3,3,5
4179535,26,2,2,1,4,1
4179538,19,1,3,5,5,1
4179580,24,1,2,4,4,3
4179593,19,1,2,3,4,2
4179603,18,2,2,4,5,4
4179604,17,1,2,3,3,4
4179650,16,2,2,,3,2
4179686,20,2,2,3,3,1
4179687,22,2,2,4,4,4
4179708,28,1,2,4,3,2
4179901,29,1,2,2,4,2
4179902,23,1,2,3,1,5
4179903,24,1,2,5,2,5
4179904,20,1,2,4,2,1
4179914,29,1,2,4,2,4
4179938,21,2,3,1,4,1
4179939,29,2,3,2,1,1
4180053,17,2,2,4,1,5
4180054,27,1,2,4,2,4
4180055,18,2,3,4,3,1
4180108,25,2,2,4,1,5
4180256,24,2,3,5,3,3
4180263,19,1,2,2,2,5
4180346,20,2,2,2,2,5
4180464,19,1,2,5,1,1
4180466,23,1,3,4,2,2
4180467,21,1,2,2,3,2
4180485,28,1,,3,3,2
4180490,21,1,2,3,4,5
4180491,20,2,3,4,2,4
4180498,25,1,3,4,3,2
4180525,29,1,3,3,1,2
4180548,16,2,2,5,3,1
4180549,26,2,2,2,2,3
4180553,27,1,2,5,4,2
